"Timestamp","Vous intéressez-vous aux jeux vidéos ?","Jouez-vous aux jeux vidéos ?","Quel âge avez-vous ?","Quel est votre sexe ?","Combien de temps avez-vous étudié la biologie ?","Vous intéressez-vous à la biologie ?","Avant de jouer à Hero.Coli, aviez-vous déjà entendu parler de la biologie de synthèse ?","Avant de jouer à Hero.Coli, aviez-vous déjà entendu parler des BioBriques ?","Aviez-vous déjà joué à une ancienne version d'Hero.Coli auparavant ?","Avez-vous joué à la version actuelle d'Hero.Coli ?","Avez-vous joué à la version borne d'arcade d'Hero.Coli ?","Avez-vous joué à la version Android d'Hero.Coli ?","Pour modifier les capacités de la bactérie il faut...","Que sont les BioBriques et les constructions ?","Trouvez le nom de cette BioBrique :","Trouvez le nom de cette BioBrique :","Trouvez le nom de cette BioBrique :","Trouvez le nom de cette BioBrique :","Que fait cette brique ?","Que fait cette brique ?","Que fait cette brique ?","Que fait cette brique ?","Dans quel cas les BioBriques sont-elles dans le bon ordre ?","Quand la fluorescence verte se produit-elle ?","Que se passe-t-il quand on enlève la construction génétique de déplacement ?","Qu'est-ce que c'est ?","Que fait cette construction ?","Que fait cette construction ?","Que fait cette construction ?","Que fait cette construction ?","Que fait cette construction ?","Que fait cette construction ?","Que fait cette construction ?","Que fait cette construction ?","Imaginez : que ferait une construction produisant de la l-arabinose, débutant par un promoteur induit à la l-arabinose ?","Imaginez : la bactérie deviendrait jaune fluorescent...","Quelle est l'espèce de la bactérie du jeu ?","Quel est le nom scientifique des queues des bactéries ?","Trouvez l'antibiotique dans la liste :","Mettez ici vos remarques puis validez.","Ne pas modifier - identifiant anonyme prérempli"
"2017/11/21 11:01:19 AM GMT+1","Beaucoup","Moyennement","22","Femme","Au moins jusqu'au master","Enormément","Oui","Non","Non","Non","Non","Non","Ramasser des nanorobots","Des protéines","Transcripteur","Promoteur","Séquence Codante","ATP","Elle contrôle le niveau d'expression, et donc à quel point la capacité est affectée","Elle contrôle le niveau d'expression, et donc à quel point la capacité est affectée","Elle contrôle quelle protéine est produite, et donc quelle capacité est affectée","Elle contrôle le niveau d'expression, et donc à quel point la capacité est affectée","Option 4","Devant les portes, quand la construction GFP est équipée","Les flagelles disparaissent l'un après l'autre, rapidement","Un plasmide - un moyen d'équiper une construction supplémentaire","Elle produit la fluorescence verte","Elle permet de se déplacer plus vite","Elle permet de résister aux antibiotiques","Elle produit la fluorescence verte","Elle produit la fluorescence verte","Elle permet de se déplacer plus vite","Elle permet de résister aux antibiotiques","Elle produit la fluorescence verte en présence de l-arabinose","Elle ne produirait rien puisqu'elle s'induirait elle-même","Si elle produisait de la YFP sous lumière cyan","E. Coli","Des flagelles","Ampicilline","","4a859cce-5826-4807-9e1d-4dd5eba16180"
"2017/11/21 11:07:58 AM GMT+1","Moyennement","Moyennement","21","Femme","Au moins jusqu'au master","Moyennement","Oui","Non","Non","Non","Non","Non","Je ne sais pas","Je ne sais pas","Je ne sais pas","Promoteur","Séquence Codante","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Option 2","Je ne sais pas","Je ne sais pas","Je ne sais pas","Elle produit la fluorescence verte","Je ne sais pas","Elle permet de résister aux antibiotiques","Je ne sais pas","Elle produit la fluorescence verte","Elle permet de se déplacer plus vite","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Hero.Coli","Des plasmides","Ampicilline","","5e978fb3-316a-42ba-bb58-00856353838d"
"2017/11/21 11:09:00 AM GMT+1","Moyennement","Un peu","20","Homme","Au moins jusqu'au master","Beaucoup","Je ne sais pas","Non","Non","Non","Non","Non","Modifier l'ADN de la bactérie","Je ne sais pas","Terminateur","Promoteur","Séquence Codante","RBS","Elle indique la fin de la construction","Elle contrôle quand la construction est active","Je ne sais pas","Je ne sais pas","Option 2","Sous lumière bleue, quand la construction GFP est équipée","La bactérie meurt","Un plasmide - un moyen d'équiper une construction supplémentaire","Elle produit la fluorescence verte en présence de l-arabinose","Elle produit la fluorescence verte en présence de l-arabinose","Elle permet de résister aux antibiotiques","Elle produit la fluorescence verte","Elle produit la fluorescence verte en présence de l-arabinose","Elle permet de se déplacer plus vite","Elle permet de résister aux antibiotiques","Elle produit la fluorescence verte","Elle produirait en permanence de la l-arabinose","Je ne sais pas","E. Coli","Des flagelles","Ampicilline","","72002481-18a1-4de2-8749-553bbabe119e"
"2017/11/21 11:43:17 AM GMT+1","Beaucoup","Moyennement","22","Homme","Au moins jusqu'au master","Enormément","Oui","Oui","Non","Une fois","Non","Non","Modifier l'ADN de la bactérie","Des séquences d'ADN","Terminateur","Promoteur","Séquence Codante","RBS","Elle indique la fin de la construction","Elle contrôle quand la construction est active","Elle contrôle quelle protéine est produite, et donc quelle capacité est affectée","Elle contrôle le niveau d'expression, et donc à quel point la capacité est affectée","Option 3","Sous lumière bleue, quand la construction GFP est équipée","Les flagelles disparaissent l'un après l'autre, rapidement","Un plasmide - un moyen d'équiper une construction supplémentaire","Elle produit la fluorescence verte","Elle permet de se déplacer plus vite","Elle permet de résister aux antibiotiques","Elle produit la fluorescence verte en présence de l-arabinose","Elle produit la fluorescence verte","Elle permet de se déplacer plus vite","Elle permet de résister aux antibiotiques","Elle produit la fluorescence verte en présence de l-arabinose","A partir du moment où elle serait induite, elle produirait de plus en plus de l-arabinose puisqu'elle s'induirait elle-même","Si elle produisait de la YFP sous lumière cyan","E. Coli","Des flagelles","Ampicilline","le jeu est très bien :)","5d9e5030-50dc-4fcd-be4b-1b4fcd40097d"
"2017/11/21 11:49:24 AM GMT+1","Enormément","Beaucoup","21","Homme","Au moins jusqu'au master","Beaucoup","Oui","Non","Non","Une fois","Non","Non","Modifier l'ADN de la bactérie","Des séquences d'ADN","Terminateur","Promoteur","Séquence Codante","RBS","Elle indique la fin de la construction","Elle contrôle quand la construction est active","Elle contrôle quelle protéine est produite, et donc quelle capacité est affectée","Elle contrôle le niveau d'expression, et donc à quel point la capacité est affectée","Option 3","Sous lumière bleue, quand la construction GFP est équipée","Les flagelles disparaissent l'un après l'autre, rapidement","Un plasmide - un moyen d'équiper une construction supplémentaire","Elle produit la fluorescence verte","Elle permet de se déplacer plus vite","Elle permet de résister aux antibiotiques","Elle produit la fluorescence verte en présence de l-arabinose","Elle produit la fluorescence verte","Elle permet de se déplacer plus vite","Elle permet de résister aux antibiotiques","Elle produit la fluorescence verte en présence de l-arabinose","A partir du moment où elle serait induite, elle produirait de plus en plus de l-arabinose puisqu'elle s'induirait elle-même","Je ne sais pas","E. Coli","Des flagelles","Ampicilline","","5151a69c-201b-45ec-954a-460a07443f96"
"2017/11/21 11:50:20 AM GMT+1","Pas du tout","Pas du tout","21","Homme","Au moins jusqu'au master","Enormément","Oui","Non","Non","Une fois","Non","Non","Modifier l'ADN de la bactérie","Des séquences d'ADN","Terminateur","Promoteur","Protéine","RBS","Elle indique la fin de la construction","Elle contrôle quand la construction est active","Elle contrôle quelle protéine est produite, et donc quelle capacité est affectée","Elle contrôle le niveau d'expression, et donc à quel point la capacité est affectée","Option 3","Sous lumière bleue, quand la construction GFP est équipée","Les flagelles disparaissent l'un après l'autre, rapidement","Un plasmide - un moyen d'équiper une construction supplémentaire","Elle produit la fluorescence verte","Elle permet de se déplacer plus vite","Elle permet de résister aux antibiotiques","Elle produit la fluorescence verte en présence de l-arabinose","Elle produit la fluorescence verte","Elle permet de se déplacer plus vite","Elle permet de résister aux antibiotiques","Elle produit la fluorescence verte en présence de l-arabinose","A partir du moment où elle serait induite, elle produirait de plus en plus de l-arabinose puisqu'elle s'induirait elle-même","Si elle produisait de la YFP sous lumière cyan","E. Coli","Des flagelles","Ampicilline","","0916ecad-850e-4bfb-b8d4-e9e8f66c52d4"
"2017/11/21 11:50:55 AM GMT+1","Enormément","Beaucoup","24","Femme","Jusqu'à la license","Beaucoup","Non","Non","Non","Une fois","Non","Non","Modifier l'ADN de la bactérie","Des séquences d'ADN","Terminateur","Promoteur","Séquence Codante","RBS","Elle indique la fin de la construction","Elle contrôle quand la construction est active","Elle contrôle quelle protéine est produite, et donc quelle capacité est affectée","Elle contrôle le niveau d'expression, et donc à quel point la capacité est affectée","Option 3","Sous lumière bleue, quand la construction GFP est équipée","Les flagelles disparaissent l'un après l'autre, rapidement","Un plasmide - un moyen d'équiper une construction supplémentaire","Elle produit la fluorescence verte","Elle permet de se déplacer plus vite","Elle permet de résister aux antibiotiques","Elle produit la fluorescence verte en présence de l-arabinose","Elle produit la fluorescence verte","Elle permet de se déplacer plus vite","Elle permet de résister aux antibiotiques","Elle produit la fluorescence verte en présence de l-arabinose","A partir du moment où elle serait induite, elle produirait de plus en plus de l-arabinose puisqu'elle s'induirait elle-même","Si elle produisait de la YFP sous lumière cyan","E. Coli","Des flagelles","Ampicilline","","0ceae1e4-b8c8-4578-a157-4facbff9f899"
"2017/11/21 11:52:13 AM GMT+1","Moyennement","Un peu","22","Femme","Jusqu'à la license","Beaucoup","Oui","Non","Non","Une fois","Non","Non","Modifier l'ADN de la bactérie","Des séquences d'ADN","Terminateur","Promoteur","Séquence Codante","RBS","Elle indique la fin de la construction","Elle contrôle quand la construction est active","Elle contrôle quelle protéine est produite, et donc quelle capacité est affectée","Elle contrôle le niveau d'expression, et donc à quel point la capacité est affectée","Option 3","Sous lumière bleue, quand la construction GFP est équipée","Les flagelles disparaissent l'un après l'autre, rapidement","Un plasmide - un moyen d'équiper une construction supplémentaire","Elle produit la fluorescence verte","Elle permet de se déplacer plus vite","Elle permet de résister aux antibiotiques","Elle produit la fluorescence verte en présence de l-arabinose","Elle produit la fluorescence verte","Elle permet de se déplacer plus vite","Elle permet de résister aux antibiotiques","Elle produit la fluorescence verte en présence de l-arabinose","A partir du moment où elle serait induite, elle produirait de plus en plus de l-arabinose puisqu'elle s'induirait elle-même","Si elle produisait de la YFP sous lumière cyan","E. Coli","Des flagelles","Ampicilline","J'ai respawn sur un rocher. J'ai dû resté appuyé sur la souris dans une direction pendant 1min pour que la bactérie revienne sur le chemin central et reprendre la partie","18102cfd-8ef0-42f1-9f05-30fc7779979c"
"2017/11/21 11:54:32 AM GMT+1","Beaucoup","Moyennement","22","Femme","Au moins jusqu'au master","Beaucoup","Oui","Non","Non","Non","Non","Non","Modifier l'ADN de la bactérie","Des séquences d'ADN","Terminateur","Prémoteur","Séquence Codante","RBS","Elle indique la fin de la construction","Elle contrôle quand la construction est active","Elle contrôle quelle protéine est produite, et donc quelle capacité est affectée","Elle contrôle le niveau d'expression, et donc à quel point la capacité est affectée","Option 3","Sous lumière bleue, quand la construction GFP est équipée","Les flagelles disparaissent l'un après l'autre, rapidement","Un plasmide - un moyen d'équiper une construction supplémentaire","Elle produit la fluorescence verte","Elle permet de se déplacer plus vite","Elle permet de résister aux antibiotiques","Elle produit la fluorescence verte en présence de l-arabinose","Elle produit la fluorescence verte","Elle permet de se déplacer plus vite","Elle permet de résister aux antibiotiques","Elle produit la fluorescence verte en présence de l-arabinose","A partir du moment où elle serait induite, elle produirait de plus en plus de l-arabinose puisqu'elle s'induirait elle-même","Si elle produisait de la YFP sous lumière cyan","E. Coli","Des flagelles","Ampicilline","","4a859cce-5826-4807-9e1d-4dd5eba16180"
"2017/11/21 11:54:56 AM GMT+1","Enormément","Enormément","21","Femme","Jusqu'au bac","Moyennement","Non","Non","Non","Une fois","Non","Non","Modifier l'ADN de la bactérie","Des séquences d'ADN","Terminateur","Promoteur","Séquence Codante","GFP","Elle indique la fin de la construction","Elle contrôle quand la construction est active","Elle contrôle quelle protéine est produite, et donc quelle capacité est affectée","Elle contrôle le niveau d'expression, et donc à quel point la capacité est affectée","Option 3","Sous lumière bleue, quand la construction GFP est équipée","Les flagelles disparaissent l'un après l'autre, rapidement","Un plasmide - un moyen d'équiper une construction supplémentaire","Elle produit la fluorescence verte","Elle permet de résister aux antibiotiques","Elle permet de se déplacer plus vite","Elle produit la fluorescence verte en présence de l-arabinose","Elle produit la fluorescence verte","Elle permet de se déplacer plus vite","Elle permet de résister aux antibiotiques","Elle produit la fluorescence verte en présence de l-arabinose","A partir du moment où elle serait induite, elle produirait de plus en plus de l-arabinose puisqu'elle s'induirait elle-même","Si elle produisait de la GFP sous lumière jaune","E. Coli","Des flagelles","Ampicilline","","ba202bbc-af77-42e8-85ff-e25b871717d5"
"2017/11/21 12:01:55 PM GMT+1","Moyennement","Moyennement","22","Homme","Au moins jusqu'au master","Moyennement","Oui","Non","Non","Une fois","Non","Non","Modifier l'ADN de la bactérie","Des séquences d'ADN","Terminateur","Promoteur","Fluorescence","RBS","Elle indique la fin de la construction","Elle contrôle quelle protéine est produite, et donc quelle capacité est affectée","Elle contrôle le niveau d'expression, et donc à quel point la capacité est affectée","Elle contrôle le niveau d'expression, et donc à quel point la capacité est affectée","Option 3","Sous lumière bleue, quand la construction GFP est équipée","Les flagelles disparaissent l'un après l'autre, rapidement","Un plasmide - un moyen d'équiper une construction supplémentaire","Elle produit la fluorescence verte","Elle permet de se déplacer plus vite","Elle permet de résister aux antibiotiques","Elle produit la fluorescence verte en présence de l-arabinose","Elle produit la fluorescence verte","Elle permet de se déplacer plus vite","Elle permet de résister aux antibiotiques","Elle produit la fluorescence verte en présence de l-arabinose","A partir du moment où elle serait induite, elle produirait de plus en plus de l-arabinose puisqu'elle s'induirait elle-même","Je ne sais pas","E. Coli","Des flagelles","Ampicilline","","df4f13e0-a9da-4acd-a0a4-d33bb84493d4"
"2017/11/21 12:03:01 PM GMT+1","Un peu","Un peu","21","Femme","Au moins jusqu'au master","Beaucoup","Oui","Non","Non","Quelques fois","Non","Non","Modifier l'ADN de la bactérie","Des séquences d'ADN","Terminateur","Promoteur","Protéine","RBS","Elle indique la fin de la construction","Elle contrôle quand la construction est active","Elle contrôle quelle protéine est produite, et donc quelle capacité est affectée","Elle contrôle le niveau d'expression, et donc à quel point la capacité est affectée","Option 3","Sous lumière bleue, quand la construction GFP est équipée","Les flagelles disparaissent l'un après l'autre, rapidement","Un plasmide - un moyen d'équiper une construction supplémentaire","Elle produit la fluorescence verte","Elle permet de se déplacer plus vite","Elle permet de résister aux antibiotiques","Elle produit la fluorescence verte en présence de l-arabinose","Elle produit la fluorescence verte","Elle permet de se déplacer plus vite","Elle permet de résister aux antibiotiques","Elle produit la fluorescence verte en présence de l-arabinose","Je ne sais pas","Je ne sais pas","E. Coli","Des flagelles","Arabinose","","5ca76986-9cac-4824-82ef-e20b81199e1a"
"2017/11/21 12:07:17 PM GMT+1","Beaucoup","Un peu","22","Homme","Au moins jusqu'au master","Enormément","Oui","Non","Non","Une fois","Non","Non","Modifier l'ADN de la bactérie","Des séquences d'ADN","Terminateur","Promoteur","Séquence Codante","RBS","Elle indique la fin de la construction","Elle contrôle quand la construction est active","Elle contrôle quelle protéine est produite, et donc quelle capacité est affectée","Elle contrôle le niveau d'expression, et donc à quel point la capacité est affectée","Option 3","Sous lumière bleue, quand la construction GFP est équipée","Les flagelles disparaissent l'un après l'autre, rapidement","Un plasmide - un moyen d'équiper une construction supplémentaire","Elle produit la fluorescence verte","Elle permet de se déplacer plus vite","Elle permet de résister aux antibiotiques","Elle produit la fluorescence verte en présence de l-arabinose","Elle produit la fluorescence verte","Elle permet de se déplacer plus vite","Elle permet de résister aux antibiotiques","Elle produit la fluorescence verte en présence de l-arabinose","A partir du moment où elle serait induite, elle produirait de plus en plus de l-arabinose puisqu'elle s'induirait elle-même","Si elle produisait de la YFP sous lumière cyan","E. Coli","Des flagelles","Ampicilline","Cool!","bbca0320-db34-4ce4-ab87-39e303c177c5"
"2017/11/21 12:08:39 PM GMT+1","Moyennement","Moyennement","21","Femme","Au moins jusqu'au master","Moyennement","Non","Non","Non","Une fois","Non","Non","Modifier l'ADN de la bactérie","Des séquences d'ADN","Terminateur","Promoteur","Séquence Codante","RBS","Elle indique la fin de la construction","Elle contrôle quand la construction est active","Elle contrôle quelle protéine est produite, et donc quelle capacité est affectée","Elle contrôle le niveau d'expression, et donc à quel point la capacité est affectée","Option 3","Sous lumière bleue, quand la construction GFP est équipée","Les flagelles disparaissent l'un après l'autre, rapidement","Un plasmide - un moyen d'équiper une construction supplémentaire","Elle produit la fluorescence verte","Elle permet de se déplacer plus vite","Elle permet de résister aux antibiotiques","Elle produit la fluorescence verte en présence de l-arabinose","Elle produit la fluorescence verte","Elle permet de se déplacer plus vite","Elle permet de résister aux antibiotiques","Elle produit la fluorescence verte en présence de l-arabinose","A partir du moment où elle serait induite, elle produirait de plus en plus de l-arabinose puisqu'elle s'induirait elle-même","Si elle produisait de la YFP sous lumière cyan","E. Coli","Des flagelles","Ampicilline","","5e978fb3-316a-42ba-bb58-00856353838d"
"2017/11/21 12:10:24 PM GMT+1","Beaucoup","Beaucoup","22","Femme","Au moins jusqu'au master","Beaucoup","Oui","Non","Non","Une fois","Non","Non","Modifier l'ADN de la bactérie","Des séquences d'ADN","Terminateur","Promoteur","Séquence Codante","RBS","Elle indique la fin de la construction","Elle contrôle quand la construction est active","Elle contrôle quelle protéine est produite, et donc quelle capacité est affectée","Elle contrôle le niveau d'expression, et donc à quel point la capacité est affectée","Option 3","Sous lumière bleue, quand la construction GFP est équipée","Les flagelles disparaissent l'un après l'autre, rapidement","Un plasmide - un moyen d'équiper une construction supplémentaire","Elle produit la fluorescence verte","Elle permet de se déplacer plus vite","Elle permet de résister aux antibiotiques","Elle produit la fluorescence verte en présence de l-arabinose","Elle produit la fluorescence verte","Elle permet de se déplacer plus vite","Elle permet de résister aux antibiotiques","Elle produit la fluorescence verte en présence de l-arabinose","A partir du moment où elle serait induite, elle produirait de plus en plus de l-arabinose puisqu'elle s'induirait elle-même","Si elle produisait de la YFP sous lumière cyan","E. Coli","Des flagelles","Ampicilline","","998cde9b-39cb-49ea-a5b6-d492d4b8d84a"
"2017/11/21 12:11:25 PM GMT+1","Un peu","Un peu","20","Homme","Au moins jusqu'au master","Beaucoup","Non","Non","Non","Non","Non","Non","Modifier l'ADN de la bactérie","Des séquences d'ADN","Terminateur","Promoteur","Séquence Codante","RBS","Elle indique la fin de la construction","Elle contrôle quand la construction est active","Elle contrôle quelle protéine est produite, et donc quelle capacité est affectée","Elle contrôle le niveau d'expression, et donc à quel point la capacité est affectée","Option 3","Sous lumière bleue, quand la construction GFP est équipée","Les flagelles disparaissent l'un après l'autre, rapidement","Un plasmide - un moyen d'équiper une construction supplémentaire","Elle produit la fluorescence verte en présence de l-arabinose","Elle permet de se déplacer plus vite","Elle produit la fluorescence verte","Elle produit la fluorescence verte en présence de l-arabinose","Elle produit la fluorescence verte","Elle permet de se déplacer plus vite","Elle permet de résister aux antibiotiques","Elle produit la fluorescence verte en présence de l-arabinose","Elle ne serait active que dans les nuages de l-arabinose","Si elle produisait de la RFP sous lumière jaune","E. Coli","Des flagelles","Ampicilline","","72002481-18a1-4de2-8749-553bbabe119e"
"2017/11/21 12:11:32 PM GMT+1","Pas du tout","Pas du tout","24","Homme","Au moins jusqu'au master","Enormément","Oui","Non","Non","Une fois","Non","Non","Modifier l'ADN de la bactérie","Des séquences d'ADN","Terminateur","Promoteur","Séquence Codante","RBS","Elle indique la fin de la construction","Elle contrôle quand la construction est active","Elle contrôle quelle protéine est produite, et donc quelle capacité est affectée","Elle contrôle le niveau d'expression, et donc à quel point la capacité est affectée","Option 3","Devant les portes, quand la construction GFP est équipée","Les flagelles disparaissent l'un après l'autre, rapidement","Un plasmide - un moyen d'équiper une construction supplémentaire","Elle produit la fluorescence verte","Elle permet de se déplacer plus vite","Elle permet de résister aux antibiotiques","Elle produit la fluorescence verte en présence de l-arabinose","Elle produit la fluorescence verte","Elle permet de se déplacer plus vite","Elle permet de résister aux antibiotiques","Elle produit la fluorescence verte en présence de l-arabinose","A partir du moment où elle serait induite, elle produirait de plus en plus de l-arabinose puisqu'elle s'induirait elle-même","Je ne sais pas","E. Coli","Des flagelles","Ampicilline","Bon jeu.","44fe6cda-3f3e-4a6d-857e-4f22c3787202"
"2017/11/24 6:25:34 PM GMT+1","Moyennement","Moyennement","18","Femme","Jusqu'à la license","Enormément","Oui","Oui","Une fois","De nombreuses fois","Non","Non","Modifier l'ADN de la bactérie","Des séquences d'ADN","Terminateur","Précurseur","Séquence Codante","RBS","Elle indique la fin de la construction","Elle contrôle quand la construction est active","Elle contrôle quelle protéine est produite, et donc quelle capacité est affectée","Elle contrôle le niveau d'expression, et donc à quel point la capacité est affectée","Option 3","Sous lumière bleue, quand la construction GFP est équipée","Les flagelles disparaissent l'un après l'autre, rapidement","Un plasmide - un moyen d'équiper une construction supplémentaire","Elle produit la fluorescence verte","Elle permet de se déplacer plus vite","Elle permet de résister aux antibiotiques","Elle produit la fluorescence verte en présence de l-arabinose","Elle produit la fluorescence verte","Elle permet de se déplacer plus vite","Elle permet de résister aux antibiotiques","Elle produit la fluorescence verte en présence de l-arabinose","A partir du moment où elle serait induite, elle produirait de plus en plus de l-arabinose puisqu'elle s'induirait elle-même","Si elle produisait de la YFP sous lumière cyan","E. Coli","Des flagelles","Ampicilline","43","fd5864bb-268e-4935-a7bc-3d807ce788b1"
"2017/12/08 4:34:20 PM GMT+1","Enormément","Moyennement","28","Homme","Jamais, pas même au collège","Un peu","Oui","Non","Non","Non","Non","Non","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","On pose des questions qui peuvent être su que si on a jouer au jeu ... ^^""","ae79c99a-451a-4071-a078-03ddde6019f7"
"2017/12/10 5:09:23 PM GMT+1","Je ne sais pas","Un peu","17","Je ne souhaite pas le préciser","Jusqu'au bac","Enormément","Je ne sais pas","Non","Non","Non","Non","Non","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","","15b73e25-5e0e-4216-943b-0279ae97b416"
"2017/12/11 2:43:22 PM GMT+1","Moyennement","Moyennement","23","Femme","Au moins jusqu'au master","Enormément","Oui","Oui","Non","Une fois","Non","Non","Modifier l'ADN de la bactérie","Des séquences d'ADN","Transcripteur","Promoteur","Séquence Codante","Je ne sais pas","Elle contrôle quelle protéine est produite, et donc quelle capacité est affectée","Elle contrôle le niveau d'expression, et donc à quel point la capacité est affectée","Elle contrôle le niveau d'expression, et donc à quel point la capacité est affectée","Je ne sais pas","Option 4","Sous lumière bleue, quand la construction GFP est équipée","Je ne sais pas","Un plasmide - un moyen d'équiper une construction supplémentaire","Elle produit la fluorescence verte","Elle produit la fluorescence verte en présence de l-arabinose","Elle permet de résister aux antibiotiques","Je ne sais pas","Elle produit la fluorescence verte en présence de l-arabinose","Elle permet de se déplacer plus vite","Elle permet de résister aux antibiotiques","Elle produit la fluorescence verte","A partir du moment où elle serait induite, elle produirait de plus en plus de l-arabinose puisqu'elle s'induirait elle-même","Si elle produisait de la YFP sous lumière cyan","E. Coli","Des flagelles","Ampicilline","","f66d0304-820c-44d0-914a-7271ac4aa654"
"2017/12/13 9:12:26 AM GMT+1","Un peu","Un peu","35","Je ne souhaite pas le préciser","Jusqu'au brevet","Un peu","Oui","Oui","Une fois","Non","Non","Non","Modifier l'ADN de la bactérie","Des séquences d'ARN","Transcripteur","Promoteur","Séquence Codante","ATP","Elle indique la fin de la construction","Elle contrôle le niveau d'expression, et donc à quel point la capacité est affectée","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Rien","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","E. Coli","Des flagelles","Ampicilline","","486542a8-1abc-4aad-840b-7d891f51c172"
"2017/12/19 1:14:04 PM GMT+1","Pas du tout","Pas du tout","80","Je ne souhaite pas le préciser","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","","23b92e1d-5efe-41eb-bffd-2500b2bcc5ee"
"2017/12/23 12:27:34 AM GMT+1","Enormément","Beaucoup","24","Homme","Jusqu'à la license","Un peu","Oui","Non","Non","Non","Non","Non","Modifier l'ADN de la bactérie","Je ne sais pas","Transcripteur","Promoteur","Protéine","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Elle contrôle le niveau d'expression, et donc à quel point la capacité est affectée","Je ne sais pas","Sous lumière bleue, tout le temps","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Des flagelles","Je ne sais pas","C'est très frustrant ce long questionnaire, ça refroidi beaucoup de jouer :(","a48a074b-cc17-481f-a616-51bb2bf3ab8a"
"2017/12/23 3:54:35 PM GMT+1","Un peu","Pas du tout","27","Femme","Au moins jusqu'au master","Un peu","Oui","Non","Non","Non","Non","Non","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","","7c5fbf20-82eb-431a-9225-a7551f43391d"
"2017/12/24 11:05:34 PM GMT+1","Enormément","Beaucoup","20","Homme","Jusqu'à la license","Enormément","Oui","Oui","Non","Non","Non","Non","Modifier l'ADN de la bactérie","Des séquences d'ADN","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","Je ne sais pas","A partir du moment où elle serait induite, elle produirait de plus en plus de l-arabinose puisqu'elle s'induirait elle-même","Si elle produisait de la GFP sous lumière jaune","E. Coli","Des flagelles","Ampicilline","","096af178-d085-405c-b22c-f2252424d4f0"
